Suburb,Rooms,Type,Method,SellerG,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price,year_list,month_list
Mooroolbark,3,h,PI,McGrath,11.38,3138,3,1,2,853,135,1980,Yarra Ranges Shire Council,-37.78156,145.30784,Eastern Victoria,8280,Attached Garage,870000,2017,10
Port Melbourne,3,t,S,Cayzer,3.8,3207,3,1,2,188,191.2,1944.8,Melbourne City Council,-37.8371,144.9478,Southern Metropolitan,8648,Attached Garage,1565000,2016,4
Northcote,1,u,S,Nelson,5.5,3070,1,1,2,0,55,1970,Darebin City Council,-37.7842,144.9991,Northern Metropolitan,11364,Carport,435000,2016,10
Abbotsford,4,h,S,Collins,2.5,3067,4,3,1,0,172.4,1958.4,Yarra City Council,-37.7994,144.9965,Northern Metropolitan,4019,Attached Garage,1542000,2016,9
Essendon,4,t,S,Barry,7.5,3040,4,2,2,465,99,1970,Moonee Valley City Council,-37.7418,144.8949,Western Metropolitan,9264,Underground,1731000,2017,11
Bentleigh,3,t,S,Buxton,13,3204,2.8,1.6,1.8,306.2,126.4,1981.6,Glen Eira City Council,-37.813214,144.860694,Southern Metropolitan,6795,Carport,782000,2017,4
Avondale Heights,3,h,SP,Moonee,9.5,3034,3,1,1,547,133.8,1974.6,Moonee Valley City Council,-37.7641,144.8662,Western Metropolitan,4502,Attached Garage,880000,2017,11
Dandenong,4,h,S,O'Brien,24.7,3175,4,1,2,850,124.8,1956,Greater Dandenong City Council,-37.98049,145.21905,South-Eastern Metropolitan,10894,Underground,915500,2018,3
Ferntree Gully,3,h,S,LJ,24.8,3156,3,1,2,726,132.8,1952,Knox City Council,-37.88448,145.26379,Eastern Metropolitan,10788,Indoor,761000,2017,10
Doncaster,4,h,S,Barry,13.9,3108,4,1,2,658,138,1975,Manningham City Council,-37.7827,145.1358,Eastern Metropolitan,9028,Parking Pad,1396000,2016,3
Moonee Ponds,2,u,VB,Nelson,6.9,3039,2,1,1,0,65,2014,Moonee Valley City Council,-37.7677,144.92,Western Metropolitan,6232,Detached Garage,470000,2016,11
Thornbury,3,h,S,Jellis,6.5,3071,3,1,1,381,131,1941.4,Darebin City Council,-37.7575,145.0128,Northern Metropolitan,8870,Detached Garage,1130000,2017,5
Elwood,2,u,S,McGrath,7.2,3184,1,1,1,469.2,58,1923,Port Phillip City Council,-37.87448,144.98852,Southern Metropolitan,8989,Attached Garage,1370000,2017,10
Lalor,2,u,S,Harcourts,16.3,3075,2,1,0.8,152.2,76.598,1974.6,Whittlesea City Council,-37.816168,144.913584,Northern Metropolitan,8279,Indoor,360000,2017,6
Williamstown,4,h,SP,Greg,8,3016,4,3,2,324,229,2009,Hobsons Bay City Council,-37.8622,144.8884,Western Metropolitan,6380,Carport,2075000,2017,6
Broadmeadows,4,h,S,YPA,14,3047,4,1,2,601,150,1960,Hume City Council,-37.6848,144.9334,Northern Metropolitan,4294,Indoor,605000,2017,11
Frankston North,3,h,SP,Ray,11.32,3200,3,1,2,566,68.4,1979.6,Frankston City Council,-38.11337,145.16067,Eastern Victoria,2500,Carport,450000,2017,7
Bulleen,4,h,S,Purplebricks,10.8,3105,4,2,2,602,170,1970,Manningham City Council,-37.76012,145.0854,Eastern Metropolitan,4480,Carport,1240000,2017,8
Mill Park,5,h,S,Ray,17.9,3082,5,2,2,541,150,1985,Whittlesea City Council,-37.66461,145.05494,Northern Metropolitan,10529,Parkade,730000,2017,9
Malvern East,4,h,S,Marshall,11.2,3145,4,1,2,720,203,1978.6,Stonnington City Council,-37.8753,145.0532,Southern Metropolitan,8801,Carport,2250000,2017,4
Melton South,4,h,SP,YPA,12.82,3338,4,2,2,589,105.8,1977.6,Melton City Council,-37.69548,144.57413,Western Victoria,4718,Parkade,420000,2017,10
Doncaster East,3,u,S,Jellis,14.3,3109,3,2,1,515.4,141.2,1976.6,Manningham City Council,-37.79495,145.15371,Eastern Metropolitan,10999,Detached Garage,925000,2017,9
Bentleigh,3,h,S,Buxton,13,3204,3,1,2,0,123.8,1960.8,Glen Eira City Council,-37.9307,145.0444,Southern Metropolitan,6795,Underground,895000,2016,5
Camberwell,5,h,PI,Marshall,7.8,3124,5,1.8,1,639,203,2010,Boroondara City Council,-37.8303,145.0668,Southern Metropolitan,8920,Outdoor Stall,2250000,2016,8
Yarraville,3,h,S,Village,7,3013,3,2,2,213,120,2004,Maribyrnong City Council,-37.8175,144.8964,Western Metropolitan,6543,Indoor,780000,2016,3
Elwood,1,u,S,hockingstuart,7.2,3184,1.4,1,1,36.4,64.8,1978.2,Port Phillip City Council,-37.85514,144.996516,Southern Metropolitan,8989,Carport,425000,2017,1
Sunshine West,3,h,S,Barry,13.5,3020,3,1,1,836,106,1975,Brimbank City Council,-37.8003,144.8097,Western Metropolitan,6763,Underground,555000,2016,8
Gowanbrae,4,h,S,Nelson,13.6,3043,4,2,2,702,170,2003,Moreland City Council,-37.7071,144.8989,Western Metropolitan,1071,Parkade,990000,2017,5
Clayton South,3,t,S,Barry,17.5,3169,3,2,2,304,147,2007,Kingston City Council,-37.93869,145.13717,South-Eastern Metropolitan,4734,Underground,785000,2017,7
Hawthorn,3,h,S,Jellis,5.3,3122,3,1,2,261,138.8,1890,Boroondara City Council,-37.81965,145.02367,Southern Metropolitan,11308,Attached Garage,1955000,2017,5
Taylors Lakes,4,h,S,Barry,15.5,3038,4,2,2,652,204,1980,Brimbank City Council,-37.70504,144.80535,Western Metropolitan,5336,Parking Pad,742000,2018,3
Cairnlea,4,h,S,Barry,14.8,3023,4,2,2,571,185,2004,Brimbank City Council,-37.76437,144.79517,Western Metropolitan,2674,Parkade,734000,2018,3
Point Cook,4,h,S,hockingstuart,14.7,3030,4,3,2,350,152.4,2015,Wyndham City Council,-37.9054,144.724,Western Metropolitan,15542,Attached Garage,758000,2017,4
Mernda,3,h,S,Stockdale,16.8,3754,3,2,2,512,120,1980.6,Whittlesea City Council,-37.6005,145.09,Northern Metropolitan,5812,Parkade,640000,2017,11
Greensborough,3,h,S,Nelson,16.1,3088,3,1,1.4,348.4,116,1960,Banyule City Council,-37.71284,145.09522,Northern Metropolitan,8524,Detached Garage,828000,2017,10
Ormond,1,u,S,Buxton,11.4,3204,1,1,1,0,32,1960,Glen Eira City Council,-37.89976,145.04215,Southern Metropolitan,3578,Indoor,327000,2017,8
Brunswick,2,h,S,Nelson,5.2,3056,2,1,1,179,90,1890,Moreland City Council,-37.7742,144.9542,Northern Metropolitan,11918,Attached Garage,845500,2016,7
Northcote,3,h,S,hockingstuart,5.5,3070,3,1,2,380,155.2,1969.6,Darebin City Council,-37.7709,145.0105,Northern Metropolitan,11364,Carport,926000,2016,5
Coburg,3,h,S,Jellis,6.7,3058,3,2,1,229,141,1954.2,Darebin City Council,-37.74524,144.9754,Northern Metropolitan,11204,Attached Garage,880000,2017,3
Templestowe Lower,2,t,S,Jellis,12.4,3107,2,1,1,217,115,2005,Manningham City Council,-37.75671,145.11401,Eastern Metropolitan,5420,Parkade,731000,2017,7
Croydon Hills,4,h,S,McGrath,23,3136,4,2,2,672,149.2,1967.2,Maroondah City Council,-37.7801,145.2617,Eastern Metropolitan,1705,Parking Pad,1040000,2017,11
Essendon,3,h,S,Nelson,7.5,3040,3,2,2,207,181,2000,Moonee Valley City Council,-37.75451,144.92179,Western Metropolitan,9264,Attached Garage,1210000,2018,3
Cremorne,3,h,S,Biggin,2.5,3121,3,1,1,326,100,1890,Yarra City Council,-37.8283,144.9946,Northern Metropolitan,1123,Parkade,1300000,2016,11
Truganina,4,h,S,One,18.4,3029,4,2,2,510,218,2014,Melton City Council,-37.84588,144.71585,Western Metropolitan,5811,Underground,611000,2018,10
Caulfield South,3,h,S,Biggin,9.3,3162,3,2,1,305,129,1925,Glen Eira City Council,-37.8899,145.023,Southern Metropolitan,5051,Indoor,1350000,2017,5
West Footscray,2,h,S,Biggin,6.4,3012,2,1,1,332,108.6,1959.4,Maribyrnong City Council,-37.79136,144.87619,Western Metropolitan,5058,Indoor,855000,2017,8
Moonee Ponds,3,h,S,Jellis,6.2,3039,3,1,1,349,192.8,1917.8,Moonee Valley City Council,-37.76304,144.92831,Western Metropolitan,6232,Indoor,1490000,2018,6
Chelsea,2,u,VB,Ray,12.32,3196,2,1,1,246.8,147.8,1973,Kingston City Council,-38.0439,145.1248,South-Eastern Metropolitan,3906,Indoor,520000,2017,11
Avondale Heights,4,h,S,Moonee,10.5,3034,3.4,1.8,1.6,575.6,155.74,1969.4,Moonee Valley City Council,-37.759224,145.0721,Western Metropolitan,4502,Carport,990000,2016,9
Cranbourne,5,h,SP,O'Brien,13.12,3977,5,3,2,528,204,2006,Casey City Council,-38.08902,145.29006,South-Eastern Metropolitan,7680,Detached Garage,720008,2017,8
Cremorne,2,h,SP,Jellis,2.4,3121,2,1,1.4,160,128,1993.2,Yarra City Council,-37.82647,144.99264,Northern Metropolitan,1123,Indoor,1200000,2017,9
Surrey Hills,4,h,VB,Fletchers,11.2,3127,4,2,2,809,198,1950,Boroondara City Council,-37.8337,145.1118,Southern Metropolitan,5457,Carport,1300000,2016,10
Yallambie,3,h,S,Barry,15,3085,3,1,1,614,117,1978,Banyule City Council,-37.7305,145.081,Northern Metropolitan,1369,Underground,742000,2016,10
